,iati_identifier,title_narrative,document_link_url,document_link_title_narrative,document-link.category-codes-combined
285,GB-1-205234,['Leh Wi Learn - Sierra Leone Secondary Education Improvement Programme '],"['http://iati.fcdo.gov.uk/iati_documents/D0001363.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0001026.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0001025.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0000914.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000673.odt', 'http://iati.fcdo.gov.uk/iati_documents/61325183.odt', 'http://iati.fcdo.gov.uk/iati_documents/5628155.odt', 'http://iati.fcdo.gov.uk/iati_documents/5628012.odt', 'http://iati.fcdo.gov.uk/iati_documents/55355463.odt', 'http://iati.fcdo.gov.uk/iati_documents/55126343.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/4866448.odt', 'http://iati.fcdo.gov.uk/iati_documents/48411940.odt', 'http://iati.fcdo.gov.uk/iati_documents/33220515.odt', 'http://iati.fcdo.gov.uk/iati_documents/11767585.odt', 'https://www.contractsfinder.service.gov.uk/Notice/f15fdb0d-9e32-45a9-8f8b-0aa5fcda9316', 'https://www.contractsfinder.service.gov.uk/Notice/4e5e93ec-e1c4-4a9d-91d1-86214a1f39b3', 'https://www.contractsfinder.service.gov.uk/Notice/b139dee0-a5fa-44b0-92ba-95b46a0d98b5', 'https://www.contractsfinder.service.gov.uk/Notice/e5cdfade-1e3a-4805-a63f-484892cbead4']","['Accountable Grant (D0001363) 205234 (Published - November, 2022).odt', 'Addendum to the Business Case (D0001026) 205234 (Published - July, 2022).odt', 'Addendum to the Business Case (D0001025) 205234 (Published - July, 2022).odt', 'Annual review (D0000914) 205234 (Published - June, 2022).odt', 'Business Case and Summary (90000673) 205234 (Published - March, 2022).odt', 'Annual review (61325183) 205234 (Published - June, 2021).odt', 'Accountable Grant (5628155 ) 205234 (Published - November, 2016).odt', 'Accountable Grant (5628012 ) 205234 (Published - November, 2016).odt', 'Annual review (55355463) 205234 (Published - May, 2020).odt', 'Logical framework (55126343) 205234 (Published - April, 2020).xlsx', 'Annual review (4866448 ) 205234 (Published - March, 2020).odt', 'Annual review (48411940) 205234 (Published - March, 2020).odt', 'Annual review (33220515) 205234 (Published - September, 2018).odt', 'Annual review (11767585) 205234 (Published - March, 2020).odt', 'Contract: DFID 7590 Sierra Leone Secondary Education Improvement Programme (SSEIP) CA No 1', 'Contract: DFID 7732 Teacher Payroll Cleaning and Status Verification Task In Sierra Leone - Contract', 'Contract: DFID 7590 Sierra Leone Secondary Education Improvement Programme (SSEIP) - Contract', 'Contract: DFID 7590 Sierra Leone Secondary Education Improvement Programme (SSEIP)']","['A09', 'A02,A03,A04,A05', 'A02,A03,A04,A05', 'A07,A08', 'A01,A02,A03,A04,A05', 'A07,A08', 'A09', 'A09', 'A07,A08', 'A02,A08', 'A07,A08', 'A07,A08', 'A07,A08', 'A07,A08', 'A11', 'A11', 'A11', 'A11']"
286,GB-1-205238,['Financial Sector Deepening Africa (FSDA) Platform'],"['http://iati.fcdo.gov.uk/iati_documents/D0003055.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0000930.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/90000204.odt', 'http://iati.fcdo.gov.uk/iati_documents/8322210.odt', 'http://iati.fcdo.gov.uk/iati_documents/62211076.odt', 'http://iati.fcdo.gov.uk/iati_documents/58727168.odt', 'http://iati.fcdo.gov.uk/iati_documents/5723842.odt', 'http://iati.fcdo.gov.uk/iati_documents/53760423.odt', 'http://iati.fcdo.gov.uk/iati_documents/46988762.odt', 'http://iati.fcdo.gov.uk/iati_documents/31420908.odt', 'http://iati.fcdo.gov.uk/iati_documents/27938575.odt', 'https://www.contractsfinder.service.gov.uk/Notice/f1e9e71e-a415-4fe0-b795-612e0c4d6f62']","['Annual review (D0003055) 205238 (Published - April, 2023).odt', 'Logical Framework (D0000930) 205238 (Published - June, 2022).xlsx', 'Annual review (90000204) 205238 (Published - December, 2021).odt', 'Memoranda of understanding (8322210 ) 205238 (Published - November, 2017).odt', 'Addendum to the Business Case (62211076) 205238 (Published - August, 2021).odt', 'Annual review (58727168) 205238 (Published - January, 2021).odt', 'Business Case and Summary (5723842 ) 205238 (Published - March, 2017).odt', 'Addendum to the Business Case (53760423) 205238 (Published - July, 2020).odt', 'Annual review (46988762) 205238 (Published - March, 2019).odt', 'Annual review (31420908) 205238 (Published - May, 2018).odt', 'Memoranda of understanding (27938575) 205238 (Published - February, 2018).odt', 'Contract: PROJ10122 - Provision of Administrative and Financial Management Services to FSD Mozambique Contract Award']","['A07,A08', 'A02,A08', 'A07,A08', 'A09', 'A02,A03,A04,A05', 'A07,A08', 'A01,A02,A03,A04,A05', 'A02,A03,A04,A05', 'A07,A08', 'A07,A08', 'A09', 'A11']"
287,GB-1-205241,"[""Women's Integrated Sexual Health""]","['http://iati.fcdo.gov.uk/iati_documents/D0001390.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0001373.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0001043.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000366.odt', 'http://iati.fcdo.gov.uk/iati_documents/61664658.odt', 'http://iati.fcdo.gov.uk/iati_documents/56222450.odt', 'http://iati.fcdo.gov.uk/iati_documents/51705243.odt', 'https://www.contractsfinder.service.gov.uk/Notice/2f150355-77a6-4913-b55f-4148fdfea615', 'https://www.contractsfinder.service.gov.uk/Notice/1f25bb26-0a89-4cb1-99c8-417b688c1096', 'https://www.contractsfinder.service.gov.uk/Notice/196556f6-7194-4e6e-a408-bb883c932649', 'https://www.contractsfinder.service.gov.uk/Notice/7024f135-c533-454c-be42-7fcfcf63b6b2', 'https://www.contractsfinder.service.gov.uk/Notice/aac9f9ce-3463-4a46-8b0e-1f824ede3657', 'https://www.contractsfinder.service.gov.uk/Notice/65a0d998-1ea1-4ae4-95d8-22e80a515dfc']","['Annual review (D0001390) 205241 (Published - November, 2022).odt', 'Annual review (D0001373) 205241 (Published - November, 2022).odt', 'Addendum to the Business Case (D0001043) 205241 (Published - July, 2022).odt', 'Business Case and Summary (90000366) 205241 (Published - February, 2022).odt', 'Annual review (61664658) 205241 (Published - July, 2021).odt', 'Annual review (56222450) 205241 (Published - December, 2020).odt', 'Annual review (51705243) 205241 (Published - December, 2019).odt', ""Contract: PO 8341 - Women's Integrated Sexual Health (Lot 2) - Contract Amendment No 6"", ""Contract: PO 8011 - Women's Integrated Sexual Health (Lot 1) - Contract Amendment No 6"", ""Contract: DFID 8011 Women's Integrated Sexual Health (Lot 1) Contract Amendment No 1"", ""Contract: DFID 8027 Women's Integrated Sexual Health (WISH) Third Party Monitoring Contract Award"", ""Contract: DFID 8011 Women's Integrated Sexual Health (Lot 1) Contract Award"", ""Contract: DFID 8341 Women's Integrated Sexual Health (Lot 2) Contract Award""]","['A07,A08', 'A07,A08', 'A02,A03,A04,A05', 'A01,A02,A03,A04,A05', 'A07,A08', 'A07,A08', 'A07,A08', 'A11', 'A11', 'A11', 'A11', 'A11', 'A11']"
288,GB-1-205242,['Tackling Deadly Diseases in Africa Programme'],"['http://iati.fcdo.gov.uk/iati_documents/D0001147.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/D0000966.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000054.odt', 'http://iati.fcdo.gov.uk/iati_documents/60578800.odt', 'http://iati.fcdo.gov.uk/iati_documents/59401700.odt', 'http://iati.fcdo.gov.uk/iati_documents/59401578.odt', 'http://iati.fcdo.gov.uk/iati_documents/57704741.odt', 'http://iati.fcdo.gov.uk/iati_documents/56720652.odt', 'http://iati.fcdo.gov.uk/iati_documents/55946933.odt', 'http://iati.fcdo.gov.uk/iati_documents/55886156.odt', 'http://iati.fcdo.gov.uk/iati_documents/54821648.odt', 'http://iati.fcdo.gov.uk/iati_documents/51120162.odt', 'http://iati.fcdo.gov.uk/iati_documents/37501370.odt', 'http://iati.fcdo.gov.uk/iati_documents/31168660.odt', 'https://www.contractsfinder.service.gov.uk/Notice/00732062-b8d2-4664-a407-74d377fe3ee5', 'https://www.contractsfinder.service.gov.uk/Notice/d284f5e5-f4ea-438b-a1fd-cad09eebf80a', 'https://www.contractsfinder.service.gov.uk/Notice/86731ebc-2166-4d02-b358-1b84325dfadf']","['Logical Framework (D0001147) 205242 (Published - August, 2022).xlsx', 'Annual review (D0000966) 205242 (Published - July, 2022).odt', 'Annual review (90000054) 205242 (Published - October, 2021).odt', 'Memoranda of understanding - amendment letter (60578800) 205242 (Published - April, 2021).odt', 'Addendum to the Business Case (59401700) 205242 (Published - January, 2021).odt', 'Addendum to the Business Case (59401578) 205242 (Published - January, 2021).odt', 'Annual review (57704741) 205242 (Published - October, 2020).odt', 'Memoranda of understanding (56720652) 205242 (Published - July, 2020).odt', 'Memoranda of understanding - amendment letter (55946933) 205242 (Published - June, 2020).odt', 'Memoranda of understanding - amendment letter (55886156) 205242 (Published - June, 2020).odt', 'Memoranda of understanding (54821648) 205242 (Published - April, 2020).odt', 'Annual review (51120162) 205242 (Published - April, 2020).odt', 'Annual review (37501370) 205242 (Published - October, 2018).odt', 'Business Case and Summary (31168660) 205242 (Published - June, 2019).odt', 'Contract: DFID 8279 Tackling Deadly Diseases Africa Programme - Third Party Monitoring Contract Award', 'Contract: DFID 8266 Tackling Deadly Diseases in Africa (TDDAP) Contract Award', 'Tender: DFID 8266 Tackling Deadly Diseases in Africa Programme (TDDAP) - Contract Notice']","['A02,A08', 'A07,A08', 'A07,A08', 'A09', 'A02,A03,A04,A05', 'A02,A03,A04,A05', 'A07,A08', 'A09', 'A09', 'A09', 'A09', 'A07,A08', 'A07,A08', 'A01,A02,A03,A04,A05', 'A11', 'A11', 'A10']"
289,GB-1-205243,['UK Partnerships for Health Systems'],"['http://iati.fcdo.gov.uk/iati_documents/D0001146.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/D0001117.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000982.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000520.odt', 'http://iati.fcdo.gov.uk/iati_documents/60278008.odt', 'http://iati.fcdo.gov.uk/iati_documents/45353065.odt', 'http://iati.fcdo.gov.uk/iati_documents/24710937.odt', 'https://www.contractsfinder.service.gov.uk/Notice/807fe68e-f993-4d26-8060-9eb5a9338c39', 'https://www.contractsfinder.service.gov.uk/Notice/9021842a-b9f4-45b1-9115-92e13bb3893d']","['Logical Framework (D0001146) 205243 (Published - August, 2022).xlsx', 'Project completion review (D0001117) 205243 (Published - August, 2022).odt', 'Annual review (90000982) 205243 (Published - May, 2022).odt', 'Annual review (90000520) 205243 (Published - February, 2022).odt', 'Annual review (60278008) 205243 (Published - March, 2021).odt', 'Annual review (45353065) 205243 (Published - February, 2019).odt', 'Business Case and Summary (24710937) 205243 (Published - March, 2018).odt', 'Contract: DFID 8560 Stronger Health Partnerships for Stronger Health Systems Contract Award', 'Tender: DFID 8560 Stronger Health Partnerships for Stronger Health Systems Contract Notice']","['A02,A08', 'A01,A07,A08', 'A07,A08', 'A07,A08', 'A07,A08', 'A07,A08', 'A01,A02,A03,A04,A05', 'A11', 'A10']"
290,GB-1-205244,['Supporting Syria and the Regions Conference (London 2016)'],"['http://iati.fcdo.gov.uk/iati_documents/5526712.odt', 'http://iati.fcdo.gov.uk/iati_documents/5291027.odt']","['Project completion review (5526712 ) 205244 (Published - May, 2017).odt', 'Business Case and Summary (5291027 ) 205244 (Published - May, 2017).odt']","['A01,A07,A08', 'A01,A02,A03,A04,A05']"
291,GB-1-205245,['Portfolio Risk Assurance Programme II'],"['http://iati.fcdo.gov.uk/iati_documents/D0001323.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0001010.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/61994506.odt', 'http://iati.fcdo.gov.uk/iati_documents/56737499.odt', 'http://iati.fcdo.gov.uk/iati_documents/5483951.odt', 'http://iati.fcdo.gov.uk/iati_documents/49786089.odt', 'http://iati.fcdo.gov.uk/iati_documents/34793427.odt', 'http://iati.fcdo.gov.uk/iati_documents/34760573.odt']","['Project completion review (D0001323) 205245 (Published - October, 2022).odt', 'Logical Framework (D0001010) 205245 (Published - July, 2022).xlsx', 'Annual review (61994506) 205245 (Published - July, 2021).odt', 'Annual review (56737499) 205245 (Published - January, 2021).odt', 'Business Case and Summary (5483951 ) 205245 (Published - May, 2017).odt', 'Annual review (49786089) 205245 (Published - July, 2020).odt', 'Annual review (34793427) 205245 (Published - August, 2018).odt', 'Annual review (34760573) 205245 (Published - August, 2018).odt']","['A01,A07,A08', 'A02,A08', 'A07,A08', 'A07,A08', 'A01,A02,A03,A04,A05', 'A07,A08', 'A07,A08', 'A07,A08']"
292,GB-1-205247,['UK Nepal / Bicentenary Learning and Advocacy Programme'],"['http://iati.fcdo.gov.uk/iati_documents/5667420.odt', 'http://iati.fcdo.gov.uk/iati_documents/13322366.odt']","['Project completion review (5667420 ) 205247 (Published - December, 2016).odt', 'Business Case and Summary (13322366) 205247 (Published - January, 2018).odt']","['A01,A07,A08', 'A01,A02,A03,A04,A05']"
293,GB-1-205248,['Education Cannot Wait (EiE)'],"['http://iati.fcdo.gov.uk/iati_documents/90000246.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000245.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/90000244.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000243.odt', 'http://iati.fcdo.gov.uk/iati_documents/5761606.odt']","['Project Completion Review (90000246) 205248 (Published - December, 2021).odt', 'Logical framework (90000245) 205248 (Published - December, 2021).xlsx', 'Annual review (90000244) 205248 (Published - December, 2021).odt', 'Annual review (90000243) 205248 (Published - December, 2021).odt', 'Business Case and Summary (5761606 ) 205248 (Published - May, 2017).odt']","['A01,A07,A08', 'A02,A08', 'A07,A08', 'A07,A08', 'A01,A02,A03,A04,A05']"
294,GB-1-205249,['Accelerating Sustainable Control and Elimination of Neglected Tropical Diseases (NTDs) - (ASCEND) '],"['http://iati.fcdo.gov.uk/iati_documents/90000192.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/58009608.odt', 'http://iati.fcdo.gov.uk/iati_documents/56957242.odt', 'http://iati.fcdo.gov.uk/iati_documents/53758103.odt', 'http://iati.fcdo.gov.uk/iati_documents/50064823.odt', 'http://iati.fcdo.gov.uk/iati_documents/48294629.odt', 'https://www.contractsfinder.service.gov.uk/Notice/fadb4761-8be8-4c79-a63b-7ffd8a773c83', 'https://www.contractsfinder.service.gov.uk/Notice/a48188e2-bac7-41a7-8b7b-a7c4c0cfe5d1', 'https://www.contractsfinder.service.gov.uk/Notice/ed4d3bd3-12d5-40cb-85dd-16cebacc50b3']","['Logical framework (90000192) 205249 (Published - December, 2021).xlsx', 'Addendum to the Business Case (58009608) 205249 (Published - October, 2020).odt', 'Annual review (56957242) 205249 (Published - August, 2020).odt', 'Memoranda of understanding (53758103) 205249 (Published - February, 2020).odt', 'Annual review (50064823) 205249 (Published - August, 2019).odt', 'Business Case and Summary (48294629) 205249 (Published - May, 2019).odt', 'Contract: DFID 8459 ASCEND Third Party Monitoring Contract Award', 'Contract: DFID 8374 Accelerating the Sustainable Control and Elimination of Neglected Tropical Diseases (ASCEND) Lot 1 Southern Asia & East Africa Contract Award', 'Contract: DFID 8476 Accelerating the Sustainable Control and Elimination of Neglected Tropical Diseases (ASCEND) Lot 2 Western and Central Africa Contract Award']","['A02,A08', 'A02,A03,A04,A05', 'A07,A08', 'A09', 'A07,A08', 'A01,A02,A03,A04,A05', 'A11', 'A11', 'A11']"
295,GB-1-205252,"['To contribute to the Least Developed Countries Fund for adaptation, hosted by the Global Environment Fund.']","['http://iati.fcdo.gov.uk/iati_documents/9130395.odt', 'http://iati.fcdo.gov.uk/iati_documents/5351347.odt', 'http://iati.fcdo.gov.uk/iati_documents/51834276.odt', 'http://iati.fcdo.gov.uk/iati_documents/28653247.odt']","['Annual review (9130395 ) 205252 (Published - June, 2018).odt', 'Business Case and Summary (5351347 ) 205252 (Published - December, 2016).odt', 'Project completion review (51834276) 205252 (Published - October, 2019).odt', 'Annual review (28653247) 205252 (Published - March, 2018).odt']","['A07,A08', 'A01,A02,A03,A04,A05', 'A01,A07,A08', 'A07,A08']"
296,GB-1-205254,['Shule Bora - Quality Education '],"['http://iati.fcdo.gov.uk/iati_documents/D0003309.odt', 'http://iati.fcdo.gov.uk/iati_documents/D0001456.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/D0001200.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000957.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000590.odt', 'http://iati.fcdo.gov.uk/iati_documents/90000221.odt', 'http://iati.fcdo.gov.uk/iati_documents/59817081.odt', 'https://www.contractsfinder.service.gov.uk/Notice/1b2bd255-858a-4573-b9c6-181f2ab03e49']","['Annual review (D0003309) 205254 (Published - July, 2023).odt', 'Logical Framework (D0001456) 205254 (Published - November, 2022).xlsx', 'Accountable Grant (D0001200) 205254 (Published - September, 2022).odt', 'Annual review (90000957) 205254 (Published - April, 2022).odt', 'Accountable Grant (90000590) 205254 (Published - March, 2022).odt', 'Annual review (90000221) 205254 (Published - December, 2021).odt', 'Business Case and Summary (59817081) 205254 (Published - February, 2021).odt', 'Contract: PO 10080 - Shule Bora (Quality School) - Contract Award']","['A07,A08', 'A02,A08', 'A09', 'A07,A08', 'A09', 'A07,A08', 'A01,A02,A03,A04,A05', 'A11']"
297,GB-1-205255,['Humanitarian Global Services'],"['http://iati.fcdo.gov.uk/iati_documents/61353844.odt', 'http://iati.fcdo.gov.uk/iati_documents/60800901.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/56550481.odt', 'http://iati.fcdo.gov.uk/iati_documents/51764409.odt', 'http://iati.fcdo.gov.uk/iati_documents/45883637.odt', 'http://iati.fcdo.gov.uk/iati_documents/45159731.odt', 'http://iati.fcdo.gov.uk/iati_documents/45158950.odt', 'http://iati.fcdo.gov.uk/iati_documents/45158672.odt', 'http://iati.fcdo.gov.uk/iati_documents/32356611.odt', 'https://www.contractsfinder.service.gov.uk/Notice/10b95804-5cdf-422c-a71c-6a630f73672b']","['Memoranda of understanding - amendment letter (61353844) 205255 (Published - June, 2021).odt', 'Logical framework (60800901) 205255 (Published - April, 2021).xlsx', 'Annual review (56550481) 205255 (Published - July, 2020).odt', 'Annual review (51764409) 205255 (Published - October, 2019).odt', 'Accountable Grant (45883637) 205255 (Published - February, 2019).odt', 'Accountable Grant (45159731) 205255 (Published - January, 2019).odt', 'Accountable Grant (45158950) 205255 (Published - January, 2019).odt', 'Accountable Grant (45158672) 205255 (Published - January, 2019).odt', 'Business Case and Summary (32356611) 205255 (Published - October, 2018).odt', 'Contract: PROJ10036 - Humanitarian Global Services Programme MEAL: Component 1 - Real-time Monitoring, Evaluation and Learning Contract Award']","['A09', 'A02,A08', 'A07,A08', 'A07,A08', 'A09', 'A09', 'A09', 'A09', 'A01,A02,A03,A04,A05', 'A11']"
298,GB-1-205256,['Ethiopia Drought Response Programme'],"['http://iati.fcdo.gov.uk/iati_documents/5757349.odt', 'http://iati.fcdo.gov.uk/iati_documents/53202841.odt', 'http://iati.fcdo.gov.uk/iati_documents/53057820.xls', 'http://iati.fcdo.gov.uk/iati_documents/53057602.odt', 'http://iati.fcdo.gov.uk/iati_documents/53024961.odt', 'http://iati.fcdo.gov.uk/iati_documents/47448165.odt', 'http://iati.fcdo.gov.uk/iati_documents/47447941.odt', 'http://iati.fcdo.gov.uk/iati_documents/47444860.odt', 'http://iati.fcdo.gov.uk/iati_documents/34450943.odt']","['Memoranda of understanding (5757349 ) 205256 (Published - May, 2017).odt', 'Memoranda of understanding - amendment letter (53202841) 205256 (Published - January, 2020).odt', 'Logical framework (53057820) 205256 (Published - March, 2021).xls', 'Business Case and Summary (53057602) 205256 (Published - March, 2021).odt', 'Project completion review (53024961) 205256 (Published - March, 2021).odt', 'Memoranda of understanding (47448165) 205256 (Published - January, 2020).odt', 'Memoranda of understanding (47447941) 205256 (Published - January, 2020).odt', 'Memoranda of understanding (47444860) 205256 (Published - January, 2020).odt', 'Memoranda of understanding (34450943) 205256 (Published - January, 2020).odt']","['A09', 'A09', 'A02,A08', 'A01,A02,A03,A04,A05', 'A01,A07,A08', 'A09', 'A09', 'A09', 'A09']"
299,GB-1-205258,['Green Economic Growth for Papua'],"['http://iati.fcdo.gov.uk/iati_documents/58312861.odt', 'http://iati.fcdo.gov.uk/iati_documents/57026246.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/57025593.odt', 'http://iati.fcdo.gov.uk/iati_documents/5419535.odt', 'http://iati.fcdo.gov.uk/iati_documents/51625544.odt', 'http://iati.fcdo.gov.uk/iati_documents/42140655.odt', 'http://iati.fcdo.gov.uk/iati_documents/29393431.odt', 'http://iati.fcdo.gov.uk/iati_documents/19008015.odt', 'https://www.contractsfinder.service.gov.uk/Notice/202e46c2-17cf-4171-b379-6e559fc19ee4']","['Annual review (58312861) 205258 (Published - February, 2021).odt', 'Logical framework (57026246) 205258 (Published - August, 2020).xlsx', 'Annual review (57025593) 205258 (Published - August, 2020).odt', 'Business Case and Summary (5419535 ) 205258 (Published - March, 2017).odt', 'Annual review (51625544) 205258 (Published - August, 2020).odt', 'Annual review (42140655) 205258 (Published - November, 2018).odt', 'Annual review (29393431) 205258 (Published - March, 2018).odt', 'Annual review (19008015) 205258 (Published - March, 2018).odt', 'Contract: DFID 7823 Service Provider for implementing Green Economic Growth Programme (GEGP) for Papua Provinces in Indonesia Contract Award']","['A07,A08', 'A02,A08', 'A07,A08', 'A01,A02,A03,A04,A05', 'A07,A08', 'A07,A08', 'A07,A08', 'A07,A08', 'A11']"
300,GB-1-205260,['Trade Strategy Programme'],"['http://iati.fcdo.gov.uk/iati_documents/56898466.odt', 'http://iati.fcdo.gov.uk/iati_documents/45740356.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/36334109.odt', 'http://iati.fcdo.gov.uk/iati_documents/31292438.odt', 'http://iati.fcdo.gov.uk/iati_documents/28295281.odt']","['Annual review (56898466) 205260 (Published - August, 2020).odt', 'Logical framework (45740356) 205260 (Published - August, 2020).xlsx', 'Memoranda of understanding (36334109) 205260 (Published - September, 2018).odt', 'Business Case and Summary (31292438) 205260 (Published - September, 2018).odt', 'Memoranda of understanding (28295281) 205260 (Published - August, 2018).odt']","['A07,A08', 'A02,A08', 'A09', 'A01,A02,A03,A04,A05', 'A09']"
301,GB-1-205266,['Pacific Catastrophe Risk Assessment and Financing Initiative'],"['http://iati.fcdo.gov.uk/iati_documents/5751231.odt', 'http://iati.fcdo.gov.uk/iati_documents/5544636.odt', 'http://iati.fcdo.gov.uk/iati_documents/36439947.odt', 'http://iati.fcdo.gov.uk/iati_documents/36021546.xlsx', 'http://iati.fcdo.gov.uk/iati_documents/35865252.odt', 'http://iati.fcdo.gov.uk/iati_documents/15444661.odt']","['Business Case and Summary (5751231 ) 205266 (Published - July, 2018).odt', 'Memoranda of understanding (5544636 ) 205266 (Published - September, 2016).odt', 'Annual review (36439947) 205266 (Published - September, 2018).odt', 'Logical framework (36021546) 205266 (Published - July, 2019).xlsx', 'Annual review (35865252) 205266 (Published - March, 2020).odt', 'Annual review (15444661) 205266 (Published - July, 2018).odt']","['A01,A02,A03,A04,A05', 'A09', 'A07,A08', 'A02,A08', 'A07,A08', 'A07,A08']"
